Nro,Cod,Lenguaje,Pais,Latitud,Longitud, X, Y, Z, X, Y, Z
1,ar,Arabic,Arabia,  24.7280930 ,  46.7148060 ,"  3,974,378 ","  4,219,692 ","  2,651,747 ",3.974378,4.219692,2.651747
2,be,Belarusian,Belorrusia,  53.9052740 ,  27.5530660 ,"  3,338,640 ","  1,741,918 ","  5,130,540 ",3.33864,1.741918,5.13054
3,bs,Bosnian,Bosnia,  43.8669120 ,  18.4118210 ,"  4,369,973 ","  1,454,698 ","  4,397,443 ",4.369973,1.454698,4.397443
4,bg,Bulgarian,Bulgaria,  42.6961730 ,  23.3192490 ,"- 697,367 ","- 4,642,826 ","  4,302,756 ",-0.697367,-4.642826,4.302756
7,ca,Catalan,Cataluña,  41.5852870 ,  1.6194390 ,"  4,775,788 ","  135,021 ","  4,211,262 ",4.775788,0.135021,4.211262
8,ceb,Cebuano,Filipinas,  14.6098860 ,  120.9842140 ,"- 3,177,985 ","  5,292,358 ","  1,598,368 ",-3.177985,5.292358,1.598368
9,cs,Czech,Chequia,  50.0350820 ,  15.1502280 ,"  3,962,205 ","  1,072,812 ","  4,865,297 ",3.962205,1.072812,4.865297
10,ht,Haitian Creole,"Haití, República Dominicana",  18.5871560 ,- 72.2964490 ,"  1,839,000 ","- 5,761,116 ","  2,020,088 ",1.839,-5.761116,2.020088
11,hr,Croatian,Croacia,  45.8037430 ,  15.9801150 ,"  4,281,872 ","  1,226,199 ","  4,550,068 ",4.281872,1.226199,4.550068
12,da,Danish,Dinamarca,  56.1546670 ,  9.4450170 ,"  3,512,284 ","  584,290 ","  5,274,053 ",3.512284,0.58429,5.274053
13,sk,Slovak,Eslovaquia,  48.7433170 ,  19.2105060 ,"  3,979,288 ","  1,386,552 ","  4,771,784 ",3.979288,1.386552,4.771784
14,sl,Slovenian,Eslovenia,  46.0541750 ,  14.5053790 ,"  4,292,650 ","  1,110,584 ","  4,569,429 ",4.29265,1.110584,4.569429
15,fi,Finnish,Finlandia,  64.8020440 ,  26.9598580 ,"  2,427,027 ","  1,234,491 ","  5,748,348 ",2.427027,1.234491,5.748348
16,fr,French,Francia,  47.0782500 ,  2.3931510 ,"  4,347,527 ","  181,694 ","  4,647,694 ",4.347527,0.181694,4.647694
17,cy,Welsh,Gales,  52.3912690 ,- 3.6087760 ,"  3,892,827 ","- 245,514 ","  5,029,490 ",3.892827,-0.245514,5.02949
18,gl,Galician,Galicia,  42.8386430 ,- 7.9416520 ,"  4,639,236 ","- 647,185 ","  4,314,375 ",4.639236,-0.647185,4.314375
19,el,Greek,Grecia,  39.7021750 ,  22.3842300 ,"  4,543,640 ","  1,871,290 ","  4,052,599 ",4.54364,1.87129,4.052599
20,nl,Dutch,Países Bajos,  52.0555540 ,  5.4556550 ,"  3,912,285 ","  373,654 ","  5,006,607 ",3.912285,0.373654,5.006607
